kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I031,자사_및_계열사_이슈,4,1955,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,self_filler_reference:kisia 보안 특화 ai 네이버 컨소 합류 모색 연내 k 글라스윙 성과 공개,self_filler_reference,SELF_AFFILIATE_BUSINESS,583.5,"KISIA, ‘보안 특화 AI’ 네이버 컨소 합류 모색…연내 ‘K-글라스윙’ 성과 공개"
selected,2,I034,자사_및_계열사_이슈,5,274,"275,2599,2597,2640",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:google:platform_data_protection_obligation,self_filler_reference,SELF_AFFILIATE_BUSINESS,501.5,"구글 디지털성범죄 피해자 개인정보 유출에 국제공조 강화 | 여성단체, 구글 디지털성폭력 피해자 정보 유출에 “삭제 절차 개편” | 구글 디지털성범죄 피해자 개인정보 유출에 국제공조 강화"
selected,3,I036,정부_국회,4,3236,"1804,3177,3287,3335,3266,3227,3296,3232",로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,global_incident:ai_security_policy:sector:anthropic_glasswing_security,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,487.0,"中, 앤트로픽CEO '中AI 규제' 주장에 ""AI 진전 방해할 뿐""(종합) | 정부, 국회 뚫어라…앤트로픽, 한국 첫 대관 뽑는다 | 중국, 앤트로픽 CEO ‘대중 AI 규제 강화’ 주장 반박…“글로벌 AI 거버넌스 훼손”"
selected,4,I038,정부_국회,5,1695,1713,로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,AI 정책 컨트롤타워 인선/공백,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,480.0,"[모닝콜] '속도 조절' vs '개발 박차'‥우리 정부 AI 전략은? | [창간기획: K콘텐츠, AI 파고를 넘어라] K-AI 콘텐츠 제작 본격화⋯해외 플랫폼 의존은 과제"
selected,5,I049,정부_국회,4,3309,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,government_ai_core_policy:빅테크와 데이터센터 진척 상당히 빨라,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,450.25,“빅테크와 데이터센터 진척 상당히 빨라”
selected,6,I001,경쟁사_해외이슈,4,1871,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:보안 특화 ai 떨어진 kisia 네이버 컨소시엄 합류 추진,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"'보안 특화 AI' 떨어진 KISIA, 네이버 컨소시엄 합류 추진"
selected,7,I002,경쟁사_해외이슈,4,1958,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:s2w 네이버클라우드 컨소시엄 합류 700b급 보안 ai 개발,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"S2W, 네이버클라우드 컨소시엄 합류…700B급 보안 AI 개발"
selected,8,I003,경쟁사_해외이슈,4,1900,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:김진수 kisia 회장 네이버 보안 특화 ai 합류 추진 회원사 역량 결집,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"김진수 KISIA 회장 ""네이버 `보안 특화 AI` 합류 추진…회원사 역량 결집"""
selected,9,I004,경쟁사_해외이슈,4,1957,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:kisia 네이버 보안 특화 ai 합류 추진 340곳 회원사 역량 모은다,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"KISIA, 네이버 '보안 특화 AI' 합류 추진…340곳 회원사 역량 모은다"
selected,10,I005,경쟁사_해외이슈,4,1946,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:김진수 kisia 회장 보안 특화 ai 네이버클라우드와도 협력,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"김진수 KISIA 회장 “보안 특화 AI, 네이버클라우드와도 협력”"
selected,11,I035,자사_및_계열사_이슈,4,33,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버 카카오 스타트업 투자전략 다르네,self_strategic_reference,SELF_AFFILIATE_BUSINESS,495.3,네이버·카카오 스타트업 투자전략 다르네
selected,12,I050,정부_국회,4,3424,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,government_ai_core_policy:에폭시 방화 실란트 시장 2035년까지 전자 데이터센터 수요로 성장 가속 뉴스 및 통계,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,449.5,"에폭시 방화 실란트 시장, 2035년까지 전자·데이터센터 수요로 성장 가속 - 뉴스 및 통계"
selected,13,I059,정부_국회,5,3016,,v26: 해외 정부·규제기관 이슈는 경쟁사/해외로 분류,global_incident:platform_regulation:platform_sector:platform_transaction_user_protection_obligation,government_platform_regulation,GOV_PLATFORM_REGULATION,427.5,"EU, 15세 미만 SNS·AI봇 제한 추진…빅테크엔 '감독수수료' 요구"
selected,14,I064,자사_및_계열사_이슈,5,262,"1456,1540,3346,498,657",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain,global_incident:platform_regulation:platform_sector:platform_regulation,self_legal_regulatory,GOV_PLATFORM_REGULATION,424.0,"“김은혜 의원입니다” 사칭 계정, 카톡 유도해 비용 대납 요구… 수사 의뢰 | [기자회견] 9월 정무위는 민생과제 1호 법안 ‘플랫폼법’ 즉각 논의하고 처리하라! | 15세 미만 SNS 이용 금지 추진하는 EU…매출 최대 6% 과징금 카드 만지작"
selected,15,I223,산업동향,3,3418,,로컬 보조 라벨,industry_structural_change:접촉 개질 촉매 시장 2035년 전망 아시아 태평양 정제 능력 증설이 수요 견인 뉴스 및 통계,industry_structural_change,INDUSTRY_STRUCTURAL_CHANGE,126.25,접촉 개질 촉매 시장 2035년 전망: 아시아·태평양 정제 능력 증설이 수요 견인 - 뉴스 및 통계
backup,1,I006,경쟁사_해외이슈,4,1913,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:김진수 kisia 회장 보안 특화 ai 네이버 컨소와 협력 타진할 것,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"김진수 KISIA 회장 “보안 특화 AI, 네이버 컨소와 협력 타진할 것”"
backup,2,I007,경쟁사_해외이슈,4,1964,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:s2w 네이버클라우드 국가 보안 ai 합류 700b급 모델 개발 나선다,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"S2W, 네이버클라우드 ‘국가 보안 AI’ 합류…700B급 모델 개발 나선다"
backup,3,I008,경쟁사_해외이슈,4,1991,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:s2w 국가 보안 ai 모델 개발 사업 참여 네이버 컨소 일원,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"S2W, 국가 보안 AI 모델 개발 사업 참여…네이버 컨소 일원"
backup,4,I009,경쟁사_해외이슈,4,1850,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:경제일보 네이버 답변에서 결제까지 광고 효율 ai 수익화 시동,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"[경제일보] 네이버, 답변에서 결제까지…광고 효율 AI 수익화 시동"
backup,5,I010,경쟁사_해외이슈,4,1906,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:kisia 보안 특파모 네이버클라우드 컨소 협력 방법 찾겠다,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"KISIA “보안 특파모, 네이버클라우드 컨소 협력 방법 찾겠다”"
backup,6,I011,경쟁사_해외이슈,4,1892,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버벤처스 포지트론 ai 에 신규 투자 성장 단계 스타트업 본격 발굴,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"네이버벤처스, 美 '포지트론 AI'에 신규 투자…성장 단계 스타트업 본격 발굴"
backup,7,I012,경쟁사_해외이슈,4,2038,"2030,2129,2054,2086,2076,2131,2140,2142",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,622.0,"사보원·SKT·SKB, AI·양자보안으로 복지 혁신 '맞손' | SKB, 한국사회보장정보원과 복지서비스 혁신…SKT AI·보안 기술 접목 | KT, IBC 2026서 AI 미디어 기술 공개…글로벌 사업자와 협력 논의"
backup,8,I013,경쟁사_해외이슈,4,3356,3383,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lg유플러스 ibc 2026에서 차세대 홈미디어 디바이스 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,617.0,"LG유플러스, IBC 2026에서 차세대 홈미디어 디바이스 공개 | LG유플러스, IBC 2026에서 차세대 홈미디어 디바이스 공개"
backup,9,I014,경쟁사_해외이슈,4,2154,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lgu+ 차세대 홈미디어 디바이스 글로벌 시장에 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LGU+, 차세대 홈미디어 디바이스 글로벌 시장에 공개"
backup,10,I015,경쟁사_해외이슈,4,2148,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lgu+ 해외 전시서 초소형 iptv 셋톱박스 첫 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LGU+, 해외 전시서 초소형 IPTV 셋톱박스 첫 공개"
backup,11,I016,경쟁사_해외이슈,4,1917,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:kisia 네이버 보안 특파모 참여 추진 회원사 340곳 데이터 역량 결집,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"KISIA, 네이버 ‘보안 특파모’ 참여 추진… “회원사 340곳 데이터·역량 결집” - 조선비즈"
backup,12,I017,경쟁사_해외이슈,4,3366,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lgu+ ibc 2026에서 차세대 홈미디어 디바이스 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LGU+, IBC 2026에서 차세대 홈미디어 디바이스 공개"
backup,13,I018,경쟁사_해외이슈,4,3364,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lg유플러스 ibc 2026서 차세대 홈미디어 디바이스 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LG유플러스, IBC 2026서 차세대 홈미디어 디바이스 공개"
backup,14,I019,경쟁사_해외이슈,4,3363,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lg유플러스 ibc서 차세대 홈미디어 디바이스 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LG유플러스, IBC서 차세대 홈미디어 디바이스 공개"
backup,15,I020,경쟁사_해외이슈,4,3378,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:lg유플러스 ibc 2026 출전 차세대 홈미디어 디바이스 공개,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,615.5,"LG유플러스, IBC 2026 출전..차세대 홈미디어 디바이스 공개"
